"year","ageGroup","race","gender","population"
1980,14,"white","female",4375181
1980,14,"white","male",3517015
1980,15,"nonwhite","female",369506
1980,15,"nonwhite","male",275498
1980,15,"white","female",3575071
1980,15,"white","male",2578049
1980,16,"nonwhite","female",524291
1980,16,"nonwhite","male",327605
1980,16,"white","female",5896118
1980,16,"white","male",3220808
1990,0,"nonwhite","female",20909177
1990,0,"nonwhite","male",19096531
1990,0,"white","female",106561348
1990,0,"white","male",102142817
1990,1,"nonwhite","female",1873333
1990,1,"nonwhite","male",1924188
1990,1,"white","female",7285286
1990,1,"white","male",7674840
1990,2,"nonwhite","female",1744473
1990,2,"nonwhite","male",1788005
1990,2,"white","female",7058274
1990,2,"white","male",7444026
1990,3,"nonwhite","female",1674201
1990,3,"nonwhite","male",1716209
1990,3,"white","female",6647468
1990,3,"white","male",7022591
1990,4,"nonwhite","female",1737712
1990,4,"nonwhite","male",1793283
1990,4,"white","female",6971165
1990,4,"white","male",7379551
1990,5,"nonwhite","female",1761290
1990,5,"nonwhite","male",1733044
1990,5,"white","female",7627737
1990,5,"white","male",8009507
1990,6,"nonwhite","female",1913941
1990,6,"nonwhite","male",1775590
1990,6,"white","female",8711431
1990,6,"white","male",8926907
1990,7,"nonwhite","female",1925693
1990,7,"nonwhite","male",1717386
1990,7,"white","female",9045345
1990,7,"white","male",9144433
1990,8,"nonwhite","female",1703287
1990,8,"nonwhite","male",1490629
1990,8,"white","female",8309266
1990,8,"white","male",8342551
1990,9,"nonwhite","female",1387705
1990,9,"nonwhite","male",1200050
1990,9,"white","female",7524857
1990,9,"white","male",7476422
1990,10,"nonwhite","female",1029451
1990,10,"nonwhite","male",888092
1990,10,"white","female",5974969
1990,10,"white","male",5851065
1990,11,"nonwhite","female",848626
1990,11,"nonwhite","male",719988
1990,11,"white","female",4971303
1990,11,"white","male",4773156
1990,12,"nonwhite","female",752551
1990,12,"nonwhite","male",604041
1990,12,"white","female",4726477
1990,12,"white","male",4404374
1990,13,"nonwhite","female",706940
1990,13,"nonwhite","male",537667
1990,13,"white","female",4971615
